1, 1, 1, 1, 1
2, 0, 1, 1, 0
3, 0, 1, 1, 0
4, 0, 1, 0, 0
5, 1, 0, 0, 1
6, 1, 0, 0, 1
7, 1, 0, 1, 1
8, 0, 1, 1, 0
9, 1, 0, 0, 1
10, 2, 0, 0, 1
11, 2, 0, 0, 1
12, 3, 1, 0, 0
13, 3, 1, 1, 0
14, 5, 1, 0, 0
15, 8, 1, 0, 0
16, 12, 0, 0, 1
17, 19, 1, 1, 0
18, 30, 0, 0, 1
19, 49, 1, 0, 0
20, 78, 0, 0, 1
21, 126, 1, 1, 0
22, 207, 1, 1, 0
23, 328, 0, 0, 1
24, 361, 0, 1, 1
25, 589, 0, 0, 0
26, 858, 0, 0, 0
27, 1298, 1, 0, 0
28, 2280, 1, 0, 1
29, 3473, 0, 0, 0
30, 4976, 1, 1, 1
31, 7810, 0, 0, 0
32, 12727, 1, 1, 1
33, 21559, 0, 1, 1
34, 33980, 1, 1, 0
35, 55794, 1, 1, 0
36, 90297, 0, 1, 1
37, 141987, 0, 1, 0
38, 243538, 1, 1, 0
39, 381353, 0, 1, 0
40, 630186, 1, 0, 0
41, 1002573, 1, 1, 0
42, 1619878, 0, 1, 1
43, 2563316, 1, 1, 0
44, 4200751, 0, 1, 1
45, 6778952, 1, 0, 0
46, 10903688, 1, 1, 0
47, 17761515, 1, 1, 0
48, 28836436, 1, 1, 0
49, 46832943, 0, 1, 0
50, 75081893, 1, 1, 0
